date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-09-18,2917256,4550343,2321965,26913,191739,215204,632778,844662
2019-09-19,2892370,4385280,2328017,27100,181602,214070,642659,634266
2019-09-20,2768380,4199026,2320259,27169,176107,221567,620842,804746
2019-09-21,2511476,3892351,2244001,26378,180561,217684,574174,1117091
2019-09-22,2578029,4121463,2214011,27168,190040,202047,578228,763231
2019-09-23,2926372,4782313,2219888,29087,202945,195630,620904,523011
2019-09-24,2781647,4658805,2196179,28603,186554,204501,613219,780876
2019-09-25,2700099,4543015,2183281,28378,188701,190745,624326,817862
2019-09-26,2813763,4642824,2184273,29274,191414,171772,637409,781068
2019-09-27,2743771,4238355,2180241,26811,202209,193853,614471,1078190
2019-09-28,2673945,4104010,2198108,25713,201877,198216,576114,949715
2019-09-29,2501709,3862711,2183886,25832,212862,188675,583180,1178398
2019-09-30,2703656,4305625,2173369,14531,225000,179310,646767,1233195
2019-10-01,2923609,4629521,2169185,30284,225870,192266,652550,1080647
2019-10-02,3045590,4970527,2178770,35446,234980,219129,596539,759540
2019-10-03,2934329,4769980,2197542,26257,217138,196215,576892,653725
2019-10-04,2676783,4491221,2211769,21723,200736,161799,540348,613665
2019-10-05,2012233,3931066,2122413,22129,197527,312876,493245,983238
2019-10-06,1994235,3894611,2089884,22970,191393,315375,485343,749631
2019-10-07,2258359,4180453,2068808,25150,200514,312761,545173,649687
2019-10-08,2151303,3921639,2065628,25361,200125,223206,525127,925865
2019-10-09,2128117,3635243,2081907,25878,194188,172344,558164,1197900
2019-10-10,2184307,3791889,2109774,26160,191877,193483,569325,1171404
2019-10-11,2031259,3664562,2093233,24540,179590,197424,555976,1215821
2019-10-12,1775066,3401502,2046864,21460,185142,192199,510275,911586
2019-10-13,1667550,3350849,2038612,3025,198576,176665,510922,798447
2019-10-14,1984254,3924102,2037112,7711,195229,177374,542187,628727
2019-10-15,1888946,4013490,2048545,3160,195380,170677,547413,979204
2019-10-16,1992065,4055325,2042726,4300,212188,145583,561510,807189
2019-10-17,1871432,3865075,2028867,3866,210136,182117,531590,881129
2019-10-18,1766167,3510340,1992755,4214,205413,182702,542495,1266667
2019-10-19,1743065,3481112,1961987,4140,218110,160085,538438,930093
2019-10-20,1706944,3525529,1973925,22996,213027,161823,491093,889705
2019-10-21,1838807,3760606,1996495,24592,220452,166906,540213,1082696
2019-10-22,1881473,3858399,1999109,25892,219055,162795,522146,1064755
2019-10-23,1934679,3597692,2037236,24156,213852,180501,536011,1013755
2019-10-24,2059429,3673712,2059233,26313,217671,168129,571614,947727
2019-10-25,2108589,3718037,2074424,24974,219049,160074,558036,842412
2019-10-26,1962712,3372033,2071937,25947,204345,165217,549369,793705
2019-10-27,1730642,3054956,2085197,24987,195739,151493,548122,1141549
2019-10-28,2082934,3645677,2081794,31920,195380,160041,620773,717043
2019-10-29,2358890,3887668,2084918,32041,192530,137545,616389,573344
2019-10-30,2351029,3831355,2089866,27894,191810,131535,657776,777467
2019-10-31,2382418,4000880,2092244,28999,196002,157562,664012,807069
2019-11-01,2259361,3806326,2096474,25624,190593,183304,671232,960320
2019-11-02,2194539,3452812,2099403,25843,182267,174310,635363,768797
2019-11-03,2112570,3169990,2097458,24873,186326,170927,633779,796063
2019-11-04,2308362,3450866,2089670,25433,186620,155521,701948,774047
2019-11-05,2483308,3700697,2105148,29330,191966,150620,671007,558806
2019-11-06,2509986,3610666,2134808,28241,195914,152279,655275,665577
2019-11-07,2544775,3597312,2146277,30292,201489,135525,694229,779169
2019-11-08,2733299,3880363,2167585,28932,201591,144559,689325,599000
2019-11-09,2658726,3594636,2166807,28828,184335,162816,669677,667261
2019-11-10,2379559,3058046,2174400,28359,178456,157257,637198,826484
2019-11-11,2423844,3188608,2179382,27131,183341,143178,632269,1106245
2019-11-12,2903107,4157964,2179273,31703,187705,123394,662213,847285
2019-11-13,3060187,4587162,2184174,35299,195572,141243,713621,972366
2019-11-14,3178618,4385341,2183777,35347,193030,105705,685394,544629
2019-11-15,2873196,4162764,2186431,27632,187914,102330,642778,634128
2019-11-16,2458719,3527268,2123261,11600,194804,120224,604870,1105830
2019-11-17,2435791,3372890,2131236,5370,198753,136257,600320,926395
2019-11-18,2635159,3803265,2135579,6698,200918,129788,648477,565936
2019-11-19,2628070,3795912,2148053,10735,205574,103756,630346,615296
2019-11-20,2370803,3445602,2183491,17066,195946,99690,626901,1134733
2019-11-21,2319812,3456751,2221822,10943,195853,118439,637927,1195047
2019-11-22,2373907,3620063,2281857,10008,193567,115064,660745,842676
2019-11-23,2276293,3457293,2315250,11078,197163,118639,624276,836305
2019-11-24,2207492,3275266,2329962,6809,196299,146278,584086,828881
2019-11-25,2204077,3333531,2346078,8342,197630,131538,662045,1205079
2019-11-26,2182854,3401895,2357370,6594,206818,125896,720606,1193451
2019-11-27,2076179,3358389,2368330,5571,205196,76083,675985,1301851
2019-11-28,2089938,3393241,2371295,5828,194912,88947,675998,889685
2019-11-29,2172682,3290901,2380980,6872,192170,115951,685617,565653
2019-11-30,1943914,3039727,2390007,4340,197082,94674,705327,1131820
2019-12-01,1900564,3136069,2422346,5188,185797,87134,646417,1163473
2019-12-02,2377244,3991450,2429659,7466,184242,109349,730945,704992
2019-12-03,2406975,4124253,2433398,9756,182530,96168,735726,1017389
2019-12-04,2400227,4127856,2380916,11282,174264,82651,705833,823041
2019-12-05,2386853,3869041,2357689,6582,180348,112618,707950,872487
2019-12-06,2358967,3860879,2358200,8868,182550,97882,711744,839329
2019-12-07,2223142,3678923,2342068,6799,176174,83635,663176,790672
2019-12-08,2121441,3299714,2357806,6414,180404,76305,629194,1114427
2019-12-09,2213766,3537082,2338164,8239,186656,91886,676413,1088258
2019-12-10,2265963,3960336,2323622,16818,180842,92216,689431,996538
2019-12-11,2530538,4523822,2343188,15989,189604,93292,730044,817749
2019-12-12,2610359,4410973,2347616,13542,192018,106610,741682,984595
2019-12-13,2627715,4266158,2357127,14483,187530,91812,725222,705102
2019-12-14,2386141,3741110,2352937,8090,181652,107450,665031,677088
2019-12-15,2327068,3464185,2359338,6364,181829,138564,669694,793636
2019-12-16,2559864,3897566,2370892,10743,194388,138111,715679,765894
2019-12-17,2553813,4189231,2387416,13538,186853,95928,728697,911662
2019-12-18,2845610,4211664,2365124,20486,566090,111799,744323,723059
2019-12-19,2833931,4355146,2361371,33155,337275,143563,755997,1062914
2019-12-20,2641936,4243569,2374963,35012,186505,135378,728203,1108770
2019-12-21,2344148,4067795,2369937,19699,170250,89018,657426,868471
2019-12-22,2208356,3884721,2370371,15652,164509,69458,644719,807750
2019-12-23,2142375,3915217,2386508,15613,167423,47423,672842,826686
2019-12-24,1874159,3515317,2405980,32197,149127,103334,692873,954337
2019-12-25,1754470,3066931,2418109,34850,142499,110239,666021,972039
2019-12-26,1863766,3399185,2416744,31947,144103,68075,722901,785818
2019-12-27,1908808,3565112,2358936,30790,145051,95378,762894,879809
2019-12-28,1789046,3273067,2342597,30528,143028,117104,685906,949391
2019-12-29,1635969,3151606,2345260,30772,136233,94322,664452,1115991
2019-12-30,1729872,3612102,2363770,30865,136263,94812,701583,1079446
2019-12-31,1836308,3848590,2316760,32484,143004,133584,710732,915246
